Category ID,Category Label,words
0,Mobile Phones,"['apple', 'iphone', 'plus', 'gb', 'silver']"
0,Mobile Phones,"['apple', 'iphone', 'plus', 'gb', 'spacegrau']"
0,Mobile Phones,"['apple', 'mq', 'iphone', 'plus', 'gb', 'mp', 'sim', 'free', 'smartphone', 'gold']"
0,Mobile Phones,"['apple', 'iphone', 'plus', 'gb', 'space', 'grey']"
0,Mobile Phones,"['apple', 'iphone', 'plus', 'gold', 'gb', 'unlocked', 'sim', 'free']"
0,Mobile Phones,"['apple', 'iphone', 'plus', 'gold', 'gb', 'unlocked', 'sim', 'free']"
0,Mobile Phones,"['apple', 'iphone', 'plus', 'gb', 'space', 'grey']"
0,Mobile Phones,"['apple', 'iphone', 'plus', 'gb', 'space', 'grey']"
0,Mobile Phones,"['apple', 'iphone', 'plus', 'gb', 'space', 'grey']"
0,Mobile Phones,"['apple', 'iphone', 'plus', 'gb', 'space', 'grey']"
0,Mobile Phones,"['apple', 'iphone', 'plus', 'single', 'sim', 'gb', 'silver']"
0,Mobile Phones,"['sim', 'free', 'iphone', 'plus', 'gb', 'apple', 'space', 'grey']"
0,Mobile Phones,"['apple', 'iphone', 'plus', 'gb', 'gold', 'smartphone']"
0,Mobile Phones,"['apple', 'iphone', 'plus', 'single', 'sim', 'gb', 'grey']"
0,Mobile Phones,"['apple', 'iphone', 'plus', 'silver', 'gb', 'unlocked', 'sim', 'free']"
0,Mobile Phones,"['apple', 'iphone', 'plus', 'gb', 'silver']"
0,Mobile Phones,"['apple', 'iphone', 'plus', 'gb', 'silver', 'unlocked']"
0,Mobile Phones,"['apple', 'iphone', 'plus', 'cm', 'gb', 'mp', 'ios', 'silver']"
0,Mobile Phones,"['iphone', 'plus', 'sim', 'free', 'water', 'dust', 'resistant', 'gb', 'silver', 'apple']"
0,Mobile Phones,"['iphone', 'plus', 'gb', 'space', 'grey']"
0,Mobile Phones,"['apple', 'iphone', 'plus']"
0,Mobile Phones,"['sim', 'free', 'iphone', 'plus', 'gb', 'mobile', 'phone', 'space', 'grey']"
